age_start,age_end,sex,race_ethnicity,person_rate,household_rate
0,15,Female,Black,0.0,0.0
0,15,Female,White,0.0,0.0
0,15,Female,Latino,0.0,0.0
0,15,Female,Multiracial or Other,0.0,0.0
0,15,Female,Asian,0.0,0.0
0,15,Female,AIAN,0.0,0.0
0,15,Female,NHOPI,0.0,0.0
0,15,Male,Black,0.0,0.0
0,15,Male,White,0.0,0.0
0,15,Male,Latino,0.0,0.0
0,15,Male,Multiracial or Other,0.0,0.0
0,15,Male,Asian,0.0,0.0
0,15,Male,AIAN,0.0,0.0
0,15,Male,NHOPI,0.0,0.0
15,18,Female,Black,0.01,0.5
15,18,Female,White,0.01,0.5
15,18,Female,Latino,0.01,0.5
15,18,Female,Multiracial or Other,0.01,0.5
15,18,Female,Asian,0.01,0.5
15,18,Female,AIAN,0.01,0.5
15,18,Female,NHOPI,0.01,0.5
15,18,Male,Black,0.01,0.5
15,18,Male,White,0.01,0.5
15,18,Male,Latino,0.01,0.5
15,18,Male,Multiracial or Other,0.01,0.5
15,18,Male,Asian,0.01,0.5
15,18,Male,AIAN,0.01,0.5
15,18,Male,NHOPI,0.01,0.5
18,19,Female,Black,0.7,0.4
18,19,Female,White,0.7,0.4
18,19,Female,Latino,0.7,0.4
18,19,Female,Multiracial or Other,0.7,0.4
18,19,Female,Asian,0.7,0.4
18,19,Female,AIAN,0.7,0.4
18,19,Female,NHOPI,0.7,0.4
18,19,Male,Black,0.7,0.4
18,19,Male,White,0.7,0.4
18,19,Male,Latino,0.7,0.4
18,19,Male,Multiracial or Other,0.7,0.4
18,19,Male,Asian,0.7,0.4
18,19,Male,AIAN,0.7,0.4
18,19,Male,NHOPI,0.7,0.4
19,20,Female,Black,0.8,0.3
19,20,Female,White,0.8,0.3
19,20,Female,Latino,0.8,0.3
19,20,Female,Multiracial or Other,0.8,0.3
19,20,Female,Asian,0.8,0.3
19,20,Female,AIAN,0.8,0.3
19,20,Female,NHOPI,0.8,0.3
19,20,Male,Black,0.8,0.3
19,20,Male,White,0.8,0.3
19,20,Male,Latino,0.8,0.3
19,20,Male,Multiracial or Other,0.8,0.3
19,20,Male,Asian,0.8,0.3
19,20,Male,AIAN,0.8,0.3
19,20,Male,NHOPI,0.8,0.3
20,21,Female,Black,0.8,0.3
20,21,Female,White,0.8,0.3
20,21,Female,Latino,0.8,0.3
20,21,Female,Multiracial or Other,0.8,0.3
20,21,Female,Asian,0.8,0.3
20,21,Female,AIAN,0.8,0.3
20,21,Female,NHOPI,0.8,0.3
20,21,Male,Black,0.8,0.3
20,21,Male,White,0.8,0.3
20,21,Male,Latino,0.8,0.3
20,21,Male,Multiracial or Other,0.8,0.3
20,21,Male,Asian,0.8,0.3
20,21,Male,AIAN,0.8,0.3
20,21,Male,NHOPI,0.8,0.3
21,22,Female,Black,0.8,0.3
21,22,Female,White,0.8,0.3
21,22,Female,Latino,0.8,0.3
21,22,Female,Multiracial or Other,0.8,0.3
21,22,Female,Asian,0.8,0.3
21,22,Female,AIAN,0.8,0.3
21,22,Female,NHOPI,0.8,0.3
21,22,Male,Black,0.8,0.3
21,22,Male,White,0.8,0.3
21,22,Male,Latino,0.8,0.3
21,22,Male,Multiracial or Other,0.8,0.3
21,22,Male,Asian,0.8,0.3
21,22,Male,AIAN,0.8,0.3
21,22,Male,NHOPI,0.8,0.3
22,25,Female,Black,0.9,0.3
22,25,Female,White,0.9,0.3
22,25,Female,Latino,0.9,0.3
22,25,Female,Multiracial or Other,0.9,0.3
22,25,Female,Asian,0.9,0.3
22,25,Female,AIAN,0.9,0.3
22,25,Female,NHOPI,0.9,0.3
22,25,Male,Black,0.9,0.3
22,25,Male,White,0.9,0.3
22,25,Male,Latino,0.9,0.3
22,25,Male,Multiracial or Other,0.9,0.3
22,25,Male,Asian,0.9,0.3
22,25,Male,AIAN,0.9,0.3
22,25,Male,NHOPI,0.9,0.3
25,30,Female,Black,0.3,0.2
25,30,Female,White,0.3,0.2
25,30,Female,Latino,0.3,0.2
25,30,Female,Multiracial or Other,0.3,0.2
25,30,Female,Asian,0.3,0.2
25,30,Female,AIAN,0.3,0.2
25,30,Female,NHOPI,0.3,0.2
25,30,Male,Black,0.3,0.2
25,30,Male,White,0.3,0.2
25,30,Male,Latino,0.3,0.2
25,30,Male,Multiracial or Other,0.3,0.2
25,30,Male,Asian,0.3,0.2
25,30,Male,AIAN,0.3,0.2
25,30,Male,NHOPI,0.3,0.2
30,40,Female,Black,0.1,0.05
